inchikey,validated,pAct_pre,n_pre
ZERNPQRYLXBKKZ-XUTJKUGGSA-N,1,8.443697499232712,1
QDNDGTZHSMYBCZ-UHFFFAOYSA-N,1,,0
XKIOBCRGUACSET-CQJMVLFOSA-N,1,,0
KTBHNUYISHHNFW-JKIUYZKVSA-N,1,8.440093374963887,2
NFIANDWIUXYLJZ-GCJKJVERSA-N,1,,0
ZTIHCPRBAJJIRW-SAIGFBBZSA-N,1,8.437707135543526,2
IMVQXSCPSNTRQQ-AQYVVDRMSA-N,1,8.437707135543526,2
BDHDIEVXYUODTG-XYWHTSSQSA-N,1,8.431798275933005,1
YAYWMEPAZGIOAH-UHFFFAOYSA-N,1,8.431798275933005,1
MHGRSFGKSQVLIY-UHFFFAOYSA-N,1,8.431798275933005,1
XNEFEJLBHUTYJL-UHFFFAOYSA-N,1,8.431798275933005,1
OXTPXLOHKYZFSF-SNAWJCMRSA-N,1,8.431798275933005,1
ZYDNGTNCSKSGGI-SNAWJCMRSA-N,1,8.431798275933005,1
KYEDFGNSKLCWNR-UHFFFAOYSA-N,1,,0
RQCOWNFHMUSHMO-JKIUYZKVSA-N,1,8.431798275933005,2
PQLHKVPYCUVYGV-UHFFFAOYSA-N,1,,0
QLRIUZVNMLEJEJ-UHFFFAOYSA-N,1,,0
LUILVQGAFGGMCT-LEWJYISDSA-N,1,,0
GAKGHYKFFZHEBW-UEVCKROQSA-N,1,8.430860274527541,2
WUJBQGWQEZSHSL-UHFFFAOYSA-N,1,8.430626090384955,1
KFOXMHFDNRTETJ-UHFFFAOYSA-N,1,7.638272163982407,1
LICMDQXLIJBJOR-XYWHTSSQSA-N,1,8.429573821641027,2
QIYZGXQRUURDLK-RLLQIKCJSA-N,1,,0
NTJOBXMMWNYJFB-UHFFFAOYSA-N,1,8.400007822415901,1
WNNTXSLBSCNVQL-LBZQVFOQSA-N,1,8.427360702957186,2
RMHUUXBXQCLMOK-UHFFFAOYSA-N,1,,0
PZOVIFGFKIPBAC-UHFFFAOYSA-N,1,8.422508200162774,1
KRMPDMJUDCQCAJ-FGZHOGPDSA-N,1,8.422331981267469,2
ZTNICFPCCSHZEL-XYWHTSSQSA-N,1,8.421360790031928,2
FTSARFSCILVQEK-ONEGZZNKSA-N,1,8.42021640338319,1
CJAGBXFYKKOMOU-ONEGZZNKSA-N,1,8.42021640338319,1
TVIUJNLDORXPPC-OAHLLOKOSA-N,1,8.42021640338319,1
ODTODLDORHJDOK-UHFFFAOYSA-N,1,8.42021640338319,1
ZJCJUHTYZBBRTE-SNAWJCMRSA-N,1,8.42021640338319,1
JEZRLUMTXPFWPB-UHFFFAOYSA-N,1,,0
XRIVHXPJBXAZDT-UHFFFAOYSA-N,1,,0
SOCNUUMMBQZFRK-UHFFFAOYSA-N,1,,0
DVRLZAJGBLYQFK-UZLBHIALSA-N,1,,0
OUVXICREAQXBOE-AUFISECZSA-N,1,,0
PGQVBLPLAKZWKQ-LBZQVFOQSA-N,1,8.41330019837595,2
MPYBYEHRQXVCIP-ONEGZZNKSA-N,1,8.411923971986269,6
SRZBALGZTDLNCE-XUTJKUGGSA-N,1,8.410050398674292,2
FLJUYWJINNZFMZ-UHFFFAOYSA-N,1,8.409492895823895,2
PRWXOHHRHWZNOG-NGRWLJPCSA-N,1,8.409021069534468,2
YHQGUYGNJMOBOA-UHFFFAOYSA-N,1,8.4089353929735,1
PZTFOAIQGVVNAX-UHFFFAOYSA-N,1,8.4089353929735,1
FKDUMTZHFXGASD-UHFFFAOYSA-N,1,8.4089353929735,1
OBWVPNLXYFESGY-UHFFFAOYSA-N,1,8.4089353929735,1
WLVJOKBDUFEGAQ-UHFFFAOYSA-N,1,,0
GTNQPSDMJWWWGY-UHFFFAOYSA-N,1,,0
UIWGASRGCHQVHR-YPAWHYETSA-N,1,8.406713932979542,2
CGMLBXCXNAARPC-KRWDZBQOSA-N,1,,0
DHOCETPWLQILEE-PLNGDYQASA-N,1,8.400122411373262,4
ZHQUFEJLPBTKSM-WVPZODRTSA-N,1,8.400116927926312,3
VBNZKUKNBGOHDO-SAABIXHNSA-N,1,8.400116927926312,2
CLYZVNJXJPXTED-UHFFFAOYSA-N,1,,0
UFUQIVBOXLXINJ-GHTZIAJQSA-N,1,,0
RPIVMBGTIWBNFZ-RZFKFIIISA-N,1,8.400007822415901,1
WVDFKSHXOWCAKH-MGFGWZDJSA-N,1,8.400007822415901,1
RHNRGRRBWOZBRT-UHFFFAOYSA-N,1,8.400007822415901,1
XJCNAPNYTSUCIR-XMMPIXPASA-N,1,8.400007822415901,1
HCNYNWZHRZQZAX-UHFFFAOYSA-N,1,8.400007822415901,1
AFKRYMMWFODFAD-CSKARUKUSA-N,1,8.400007822415901,2
YTBUMNNIZGPKLZ-IZZDOVSWSA-N,1,8.400007822415901,1
WIWLEFDYNDBBIF-JXMROGBWSA-N,1,8.400007822415901,1
GJWDRNPPBDVMAH-KPKJPENVSA-N,1,8.400007822415901,1
NNMGGNROJQCPDV-ZRDIBKRKSA-N,1,8.400007822415901,1
WRMSYILMRYXLAS-IZZDOVSWSA-N,1,8.400007822415901,1
NUWDDLFERGKQRG-JXMROGBWSA-N,1,8.400007822415901,1
LKZYQJSJNFLIIO-UHFFFAOYSA-N,1,8.400007822415901,1
HKAVEMLHBNPBSZ-PTTOYHQWSA-N,1,8.400007822415901,1
PIXRONAZKMZTPE-REAKQFRHSA-N,1,8.400007822415901,1
LFRFMZVSPPXQJD-UHFFFAOYSA-N,1,8.400007822415901,1
SUOCMIKXLFKQTH-VWLOTQADSA-N,1,8.400007822415901,1
WLLDCVHJRCZONV-SSEXGKCCSA-N,1,8.400007822415901,1
JCGVHNRXCIXGCT-UHFFFAOYSA-N,1,8.400007822415901,1
JYXPVNIIIHSWLZ-UHFFFAOYSA-N,1,8.400007822415901,1
IUVSEUFHPNITEQ-UHFFFAOYSA-N,1,8.400007822415901,1
FEQJNVMOFHFOGP-UHFFFAOYSA-N,1,8.400007822415901,1
NZPLLWYDJFVQEH-UHFFFAOYSA-N,1,8.400007822415901,1
YROMCCIDISNCOF-UHFFFAOYSA-N,1,8.400007822415901,1
SUTBGEJWOOOUFT-UHFFFAOYSA-N,1,8.400007822415901,2
PXMXBPLOQSHMBE-UHFFFAOYSA-N,1,8.400007822415901,1
UKHPZHQUPSAUMR-UHFFFAOYSA-N,1,8.400007822415901,1
JNTWHFOMVSHHKK-UHFFFAOYSA-N,1,8.400007822415901,1
LVPCPZRNWKXHTK-UHFFFAOYSA-N,1,8.400007822415901,1
XQVMSBNONFRXFN-UHFFFAOYSA-N,1,8.400007822415901,1
HVSRNYNPOUFDNJ-UHFFFAOYSA-N,1,8.400007822415901,1
VLGWIPCXNBQWLT-UHFFFAOYSA-N,1,8.400007822415901,3
VUFRFPUOFHXBBM-UHFFFAOYSA-N,1,8.400007822415901,1
QCDCMDPVHPUROA-UHFFFAOYSA-N,1,8.400007822415901,1
FOUYNUWEFKTMDR-UHFFFAOYSA-N,1,8.400007822415901,1
HIVHEOCGLZASLB-UHFFFAOYSA-N,1,8.400007822415901,1
AYDQEBMCUGUQLW-UHFFFAOYSA-N,1,8.400007822415901,1
ACKJXZGTUCARLB-KNQAVFIVSA-N,1,,0
KFQYTPMOWPVWEJ-INIZCTEOSA-N,1,8.398483556492645,2
WOWYFQWPMWYJNL-UHFFFAOYSA-N,1,8.397940008672037,3
YEHCICAEULNIGD-MZMPZRCHSA-N,1,8.733979709078262,2
HRQSRFLNKXUFRB-KESTWPANSA-N,1,8.397940008672037,1
RRNLVYSLHABLSU-UHFFFAOYSA-N,1,8.397940008672037,1
MAMYYNBMHYGSHM-UHFFFAOYSA-N,1,8.397940008672037,1
USZWRGWERFWVSE-WVPZODRTSA-N,1,8.397940008672037,1
SSKRZOVNWRTPKN-ONEGZZNKSA-N,1,8.397940008672037,1
CAWFRCMJYFIMLP-UHFFFAOYSA-N,1,8.397940008672037,1
YUMQWMQAMSUQRF-DWPDDBJKSA-N,1,8.397940008672037,2
OHSIGBOKYLDSHG-UHFFFAOYSA-N,1,,0
WLAAUSCDSXYHAZ-FCHUYYIVSA-N,1,,0
NHXMQVWYTNNGDO-YOCNBXQISA-N,1,,0
ZPEAQOHSKIPYKV-MXVIHJGJSA-N,1,8.396855627379818,1
QSYSGNJXSQQELK-UILWBTOOSA-N,1,8.3963144503853,2
HAMNVKXXPQTQTJ-JKIUYZKVSA-N,1,8.39577394691553,2
NHQVWADCZMCLLL-MYKGNVCDSA-N,1,8.39577394691553,2
WBKIGDGNXRRXNA-UHFFFAOYSA-N,1,8.391258027893047,4
XLJQOKQZCYRQNN-UHFFFAOYSA-N,1,,0
IYZBRQAAJGEDNI-OXJNMPFZSA-N,1,,0
OMXJWXICMCUBRZ-QRWLVFNGSA-N,1,,0
SBCYNHCFJBYRJY-UHFFFAOYSA-N,1,,0
MOINQXFCUHCNNN-SAABIXHNSA-N,1,8.38933983691012,2
SGVBRIHFEULKBC-UHFFFAOYSA-N,1,8.387216143280265,1
MUGIIZXLOBYZRQ-UHFFFAOYSA-N,1,8.387216143280265,1
OAMRDAGXTITKDJ-VAWYXSNFSA-N,1,8.387216143280265,1
AWIYLVWAILOVMX-RLAPIPATSA-N,1,8.387216143280265,1
AWIYLVWAILOVMX-UHFFFAOYSA-N,1,8.387216143280265,1
LARFMQZWGLKYLH-JKIUYZKVSA-N,1,8.387216143280265,2
OHSIGBOKYLDSHG-AZGAKELHSA-N,1,,0
RLRPUCNVCZCTRG-VQTJNVASSA-N,1,,0
KUNJWDFGNSXWFX-UHFFFAOYSA-N,1,,0
DCPPWKFRGIUQDU-LJQANCHMSA-N,1,,0
HRSJSQHPKLXGDX-XBTDCMMSSA-N,1,8.380906669373257,2
PEJRVVYNELAPOR-HZPDHXFCSA-N,1,8.379981036221915,2
ZRQADOCXGLFZJC-OXJNMPFZSA-N,1,,0
HOJGYADNYPGADT-UAPYVXQJSA-N,1,8.377785977033705,2
BTOJYCTUJJHANF-WMLDXEAASA-N,1,8.3767507096021,4
JCGBUUHLRXHEQS-WGSAOQKQSA-N,1,8.3767507096021,1
CANPFCFJURGKAX-JTQLQIEISA-N,1,8.3767507096021,1
AADWBQLQKGQDIM-UHFFFAOYSA-N,1,8.3767507096021,1
HAXCDBIFKSGOTN-UHFFFAOYSA-N,1,8.3767507096021,1
KTKVHSSURNTWLF-SAIGFBBZSA-N,1,8.3767507096021,2
QKNMUTJKRIBDKW-XUTJKUGGSA-N,1,8.373659632624957,2
LNMWMYAAMASJED-UHFFFAOYSA-N,1,,0
OHNCZVXJVAIMIH-UHFFFAOYSA-N,1,,0
ZPMKYPOYZYLBSN-UHFFFAOYSA-N,1,8.369979148886591,1
AARWRAFDYZSYPD-UHFFFAOYSA-N,1,8.369979148886591,1
GJKGOLAEKKKXBM-XYWHTSSQSA-N,1,8.369572124974976,2
SQLYEWBPPTXDRF-MEMLXQNLSA-N,1,8.366531544420413,1
ZSOAASMDFMEZPH-WGSAOQKQSA-N,1,8.366531544420413,1
YZQXLVIDXVUDPY-UHFFFAOYSA-N,1,8.366531544420413,1
HGRPPZKIXIZLRX-UHFFFAOYSA-N,1,8.366531544420413,1
SHUPLKKPJACSQI-VJBMBRPKSA-N,1,8.366531544420413,1
HKOJNCZKZSYFEQ-LJAQVGFWSA-N,1,8.366531544420413,1
BUNARIUEVNWERA-QAQDUYKDSA-N,1,8.366531544420413,1
RRYHHCNEVZLSCS-IYARVYRRSA-N,1,8.366531544420413,1
ZAVNMUPCFJDCTL-UHFFFAOYSA-N,1,,0
DGZKLXNLBCVGGK-UHFFFAOYSA-N,1,,0
PDNOIHGCVLVCCX-UHFFFAOYSA-N,1,,0
NRXPFRHREANWEK-UKILVPOCSA-N,1,,0
YWYZRJMGANXTJK-UHFFFAOYSA-N,1,8.361510743045363,2
ISELLYVTONRQOI-AQYVVDRMSA-N,1,8.361510743045363,2
XESYYKHMJOWEPL-XYWHTSSQSA-N,1,8.359518563029578,2
GIAJRMOZOJKYBH-IYARVYRRSA-N,1,8.359518563029578,2
CTPVTXDLFFRQAD-UHFFFAOYSA-N,1,,0
AYAGATABYZSYEZ-FCMXBYMOSA-N,1,8.357535479757878,2
KXNPPUPYHKPSNB-UHFFFAOYSA-N,1,8.356547323513812,1
NZIPBDPDZPUDLD-UHFFFAOYSA-N,1,8.356547323513812,2
YVKJVUJRJJSJAZ-UHFFFAOYSA-N,1,8.356547323513812,1
XAESEDLRZCTOOM-AATRIKPKSA-N,1,8.356547323513812,1
YMUDLHBKUTXRGL-UHFFFAOYSA-N,1,,0
XLYRRJFZVKDMFE-UAPYVXQJSA-N,1,8.356547323513812,2
XCVFQMNYKCFHPH-UHFFFAOYSA-N,1,,0
XDJJCVLGIOECKZ-UHFFFAOYSA-N,1,,0
VQODXNCHOGDXSX-YKSBVNFPSA-N,1,,0
VYCKVQISRHCOOL-OAHLLOKOSA-N,1,8.354577730650908,1
YTVQOUZRPPUHRV-UHFFFAOYSA-N,1,,0
IONCAKHVNMAPQA-NQIIRXRSSA-N,1,,0
OJVUWAZPULUZEU-UHFFFAOYSA-N,1,,0
ZAFAQAJYDSJNDH-UHFFFAOYSA-N,1,,0
FUJBVUPRADYUIB-XUTJKUGGSA-N,1,8.348721986001856,2
QGSXNUMUNVVREL-XUTJKUGGSA-N,1,8.346787486224656,1
PKBFRDZADXJQRC-UHFFFAOYSA-N,1,8.346787486224656,1
KTJXBGFKGUUNHP-UHFFFAOYSA-N,1,8.346787486224656,1
DIJKUIXRAWOVGJ-UHFFFAOYSA-N,1,8.346787486224656,3
NTASTGHPPLINPW-UHFFFAOYSA-N,1,8.346662059605197,2
YZBUHABEHVWWRM-UILWBTOOSA-N,1,8.344381416458777,2
AYSGDGVMVFJUQY-JKIUYZKVSA-N,1,8.343901797987169,2
UAVOWOKUOJZVHZ-YLIUREIVSA-N,1,8.341988603342887,2
WSPOMRSOLSGNFJ-AUWJEWJLSA-N,1,8.341035157335565,1
MKKJVJCUFYKFLO-AQYVVDRMSA-N,1,8.34008379993015,2
UDUUCGMSUBUXNS-UHFFFAOYSA-N,1,,0
YTXILLIRPDSLHZ-HNAYVOBHSA-N,1,,0
OMUDHMBLKINCCX-XXBNENTESA-N,1,,0
BSOLCASXROXPRZ-MQSINFNDSA-N,1,8.339926856944473,2
TUHWCWZHGQPAEF-HNKWHGCMSA-N,1,8.339134521996131,2
UGYOAOPLCYFDLB-AQYVVDRMSA-N,1,8.338187314462738,2
OUNYCNQDFAUREF-UHFFFAOYSA-N,1,8.337242168318426,4
LTYAWIKNOPSPBV-KESTWPANSA-N,1,8.337242168318426,2
GZKLJWGUPQBVJQ-UHFFFAOYSA-N,1,8.335606399822733,2
FVRSJSBIEQJTRJ-UAPYVXQJSA-N,1,8.334419008982048,2
YPNBJNLSFKYUJW-HZCBDIJESA-N,1,8.334419008982048,2
QGKIQQCQAJMJNK-WGSAOQKQSA-N,1,8.33348201944512,1
SQXPURWSUNRRIZ-PGWJBFNOSA-N,1,8.330311291943792,2
BQDVGVNUGZSYNV-UHFFFAOYSA-N,1,,0
PDEOWFLSMSAWTN-UHFFFAOYSA-N,1,,0
BUHDSUFFPNBSGG-UHFFFAOYSA-N,1,8.327902142064282,1
IBNGPFLSWWZTBJ-XUTJKUGGSA-N,1,8.327902142064282,1
SIDPGTZGVQNXLM-WGSAOQKQSA-N,1,8.327902142064282,1
UGBHWDCXHHTYMY-UAPYVXQJSA-N,1,8.327902142064282,1
AAYMNPGQEZYHNE-UHFFFAOYSA-N,1,8.327902142064282,1
FHBMSKSIPMUQOG-UHFFFAOYSA-N,1,,0
WEMWEQGYQWENGE-UHFFFAOYSA-N,1,,0
UXATXHBJCKNDIU-XZOQPEGZSA-N,1,,0
PUVINHDPRXBNSI-OJBMAJLDSA-N,1,,0
IMFLKRNUSHCDBK-UHFFFAOYSA-N,1,8.32513885926219,1
FOWVILAPRCJMGP-MRXNPFEDSA-N,1,,0
OWCFHTULJYSSNJ-IRJFHVNHSA-N,1,8.323397830417981,2
XLHGDHLCZBHDRQ-MRXNPFEDSA-N,1,8.322015005796771,2
CDDVHWKFFCJTOZ-UHFFFAOYSA-N,1,8.18045606445813,1
HQVGADXQHMROOB-DEOSSOPVSA-N,1,8.320572103387882,1
RIVWPOSKFAXCII-XUTJKUGGSA-N,1,8.320572103387882,2
KQBYIQCEQDXZFW-NSCUHMNNSA-N,1,8.319664486585436,5
GHXMJOBEVWDMLQ-MGPUTAFESA-N,1,,0
ARXSWHRTJLWTMT-AQYVVDRMSA-N,1,8.318758762624412,1
KSWVNKXYQFPTSL-UHFFFAOYSA-N,1,8.318758762624412,1
UHBDOJLDXNFRPT-UHFFFAOYSA-N,1,8.318758762624412,1
DISXAFLQNJTZHA-UHFFFAOYSA-N,1,8.318758762624412,1
RPFKNPSBXZWKHC-UHFFFAOYSA-N,1,8.318758762624412,1
GWGVZWMERZAHNI-UHFFFAOYSA-N,1,8.318758762624412,1
PVAIEWDYRNQJFR-MXVIHJGJSA-N,1,8.318758762624412,1
VPCKUMFPILIIDI-JIBACQESSA-N,1,8.318758762624412,2
CRSMUMSMFUSJCR-ZXSXIFIVSA-N,1,,0
UGPMJKXBWQUZNC-RVZUZXSLSA-N,1,8.316052869248487,2
GYZQENOTEUQFGR-UILWBTOOSA-N,1,8.31069114087638,2
JVGDBVAGMMZAGB-YKSBVNFPSA-N,1,,0
JIMZYWHOJZKVBJ-UHFFFAOYSA-N,1,8.309803919971486,1
GJEUOGHJJUBVHW-UHFFFAOYSA-N,1,8.309803919971486,1
HZIPKQNESFBOQW-LSNLESRRSA-N,1,8.309803919971486,2
PUFRXIARUMGNAR-LSNLESRRSA-N,1,8.309803919971486,2
LIRAXYPAXGDSQL-KESTWPANSA-N,1,8.309803919971486,2
GRGGMNIWCOHOKK-FHWLQOOXSA-N,1,8.309803919971486,2
PMZOPKCHYGDQPO-UHFFFAOYSA-N,1,,0
QMOLKOODFFHIEC-WKILWMFISA-N,1,8.308918507877031,2
GVWRDZDVMQQZBK-GOSISDBHSA-N,1,8.306273051076353,1
ZTPVZJYMOVCRTF-RUCARUNLSA-N,1,8.304168227173308,2
YEYNJASJMPEAEX-UHFFFAOYSA-N,1,8.303643611266669,1
URKYBTISJBKTKP-UAPYVXQJSA-N,1,8.30189945437661,2
FOQMHNUCQRZHMO-IYARVYRRSA-N,1,8.301029995663981,1
ACOHJTDLJUVDNX-AQYVVDRMSA-N,1,8.301029995663981,1
IKMVUGGIEHIWKD-BUHFOSPRSA-N,1,8.301029995663981,1
BCTPODDQZONFKA-UHFFFAOYSA-N,1,8.301029995663981,1
UVSLSTOAZHUYRU-UHFFFAOYSA-N,1,8.301029995663981,1
BRANQVYSEMSFOV-XUTJKUGGSA-N,1,8.301029995663981,2
MQJQYLQPSMPNAA-UHFFFAOYSA-N,1,,0
OLWRVVHPJFLNPW-LSNLESRRSA-N,1,8.400007822415901,10
FAWJQUFCTSZCAC-XCZPVHLTSA-N,1,8.299988937677888,1
WUACSCWYLJHDBV-HNNHSTSXSA-N,1,8.299988937677888,1
NWSXNSLKBWYNLE-HSZRJFAPSA-N,1,8.299988937677888,1
ZZPOVHXVOVUVQC-FCJZXJKRSA-N,1,8.299988937677888,1
RBQRPADDWAFDFX-UHFFFAOYSA-N,1,8.299988937677888,1
YFRPYRGBQBMLTB-XYOKQWHBSA-N,1,8.299988937677888,1
QZPFGFWFHKJBJX-DHZHZOJOSA-N,1,8.299988937677888,1
PWMDANRQWZFAPB-UHFFFAOYSA-N,1,8.299988937677888,1
ZKIPGLALAMDBLY-UHFFFAOYSA-N,1,8.299988937677888,1
QKCWJUZPSFBAKW-UHFFFAOYSA-N,1,8.299988937677888,1
FJVFFJPYYUVVJU-UHFFFAOYSA-N,1,8.299988937677888,1
YFWICZORWGKFIF-UHFFFAOYSA-N,1,8.299988937677888,1
AGHXSXMZVMLSGU-UHFFFAOYSA-N,1,8.299988937677888,1
GGTFAVLCBBVKHN-UHFFFAOYSA-N,1,8.299988937677888,1
HRUTWQCXFHLYSD-UHFFFAOYSA-N,1,8.299988937677888,1
QWRZAQFQULNINP-UHFFFAOYSA-N,1,8.299988937677888,1
XIMQMECIXPDQER-UHFFFAOYSA-N,1,8.299988937677888,1
NCXRDDKPZUSAQF-QRTMHTFLSA-N,1,8.299988937677888,2
XRCOCSDAHSAQTP-UHFFFAOYSA-N,1,8.299988937677888,1
JEBLLBOUXXZBPR-UHFFFAOYSA-N,1,8.299988937677888,3
DHOZKKHZCBDGEK-UHFFFAOYSA-N,1,8.299988937677888,3
AVTONHYDPSFOLQ-UHFFFAOYSA-N,1,8.299988937677888,3
LCSARSYDEHXRBQ-UHFFFAOYSA-N,1,8.299988937677888,3
NZOQVGKUAPXCFT-NQIIRXRSSA-N,1,8.299988937677888,1
SSMBSCUSIUNOPU-UHFFFAOYSA-N,1,8.299988937677888,1
BRJGIZVBTXYEBD-UHFFFAOYSA-N,1,8.299988937677888,3
ADUUVPPWHWVJFK-UHFFFAOYSA-N,1,,0
TZFNGJBTMKSJFD-UHFFFAOYSA-N,1,,0
XPKWZBRQMHEAAX-KESTWPANSA-N,1,8.294992040666664,1
CXKSEZNDLPVFPJ-UHFFFAOYSA-N,1,,0
BUSRXNBLQQVZCO-NRFANRHFSA-N,1,8.292429823902063,1
OPHBHUMUNHDPAE-AFARHQOCSA-N,1,8.292429823902063,2
VIYAPIMIOKKYNF-UHFFFAOYSA-N,1,8.290730039024169,1
QOJAXHPIIVARQJ-SAIGFBBZSA-N,1,8.290730039024169,2
LKIZJVWLCHAZTJ-AVRDEDQJSA-N,1,,0
ABNHJZFZKGLSKZ-UHFFFAOYSA-N,1,,0
SKIYXMOTQIREJJ-XUTJKUGGSA-N,1,8.28735029837279,2
PAZGGYGNWVGTBZ-RZDIXWSQSA-N,1,8.284916329305073,2
ICDUPLIIKZSMRC-XGAFWQRZSA-N,1,8.284832642151542,2
HBUZHZJOHCSLDL-SOAUALDESA-N,1,8.284268260204176,2
GDILZWFRCXVWFM-UHFFFAOYSA-N,1,8.2839966563652,1
YZFYEFKQLBLPFJ-ALOJWSFFSA-N,1,8.2839966563652,1
FTSUPYGMFAPCFZ-ZWNOBZJWSA-N,1,7.956553264345272,30
IMCPEGAWOYJDMH-UHFFFAOYSA-N,1,8.282332684690736,2
LJKVVPJFMUCTIV-UHFFFAOYSA-N,1,8.2839966563652,1
CNRWQWXTVCUGCK-AQYVVDRMSA-N,1,8.2839966563652,2
BVAQJIHTMVINPX-YLJYHZDGSA-N,1,,0
LJXBPSXSJHVHOV-UHFFFAOYSA-N,1,,0
CAVOXTSDVAGWFI-NQIIRXRSSA-N,1,,0
STIWHEMFVTWALB-LAUBAEHRSA-N,1,,0
ZFSOBPVEIKTNQS-CHWSQXEVSA-N,1,8.279293839888307,2
AZFDKPLHCSQHQI-LUGTWXOSSA-N,1,8.276544327964814,2
RIOOLQVLOZQLQJ-ZDUSSCGKSA-N,1,8.275724130399212,9
LUZRJRNZXALNLM-JGRZULCMSA-N,1,,0
MOHZYINNROZMOQ-YLIUREIVSA-N,1,8.271646217978772,2
WLQPRUMGPAOCRW-VXKWHMMOSA-N,1,,0
AJEQJTPMMJPNLR-NQIIRXRSSA-N,1,,0
ZPEIMTDSQAKGNT-UHFFFAOYSA-N,1,8.480763439685022,6
TUVRDSTTWFDDHW-UHFFFAOYSA-N,1,8.267606240177031,2
ICAXEUYZCLRXKY-UHFFFAOYSA-N,1,8.267606240177031,1
BKNMXUNXXKWRNR-UHFFFAOYSA-N,1,8.267606240177031,1
CRVXXEZDJABOJD-UHFFFAOYSA-N,1,8.267606240177031,1
IDLCGPWMKHMBHA-YEMPIKNUSA-N,1,8.267606240177031,2
TZDYPFYPZGPSPS-MOPGFXCFSA-N,1,,0
ZCTVOGWWMHRQLN-ONEGZZNKSA-N,1,8.265088992010918,8
YZNCNHWANPBHMC-UHFFFAOYSA-N,1,,0
ZIQDGXNDXRMRPM-JTSKRJEESA-N,1,,0
LNEPOXFFQSENCJ-UHFFFAOYSA-N,1,8.230148380526087,44
PCPMHRDGGJEPAZ-UHFFFAOYSA-N,1,8.259637310505756,1
QIMGMHULMOXSPU-UHFFFAOYSA-N,1,8.259637310505756,1
GSEFGWJFHUAOCL-CTTUZFCVSA-N,1,8.259637310505756,2
VWXWDHIJTXVFHJ-UHFFFAOYSA-N,1,,0
LOHWYFHMCSFPRU-UHFFFAOYSA-N,1,,0
VFSAAGKCBXDENJ-KESTWPANSA-N,1,8.258848401148216,2
CEUORZQYGODEFX-UHFFFAOYSA-N,1,8.258737567410963,10
NGCKUAWDNUFNBB-UHFFFAOYSA-N,1,,0
FZFIBSDQQKUERM-UHFFFAOYSA-N,1,,0
PYPHZFKZPWVUSJ-UHFFFAOYSA-N,1,8.254144804826272,1
BHVASJSYMURYLK-UHFFFAOYSA-N,1,8.2518119729938,1
QXYZJXCNTMMWEO-BERHBOFZSA-N,1,8.606021938358033,2
GMWBGMFGQFHAIE-HNKWHGCMSA-N,1,8.250263684430939,2
RLIMJSGHBMXEDY-UHFFFAOYSA-N,1,,0
OBGOWZOSTXHAGD-UHFFFAOYSA-N,1,8.244125144327509,3
AYOYRQBAZIBAOY-UHFFFAOYSA-N,1,8.244125144327509,1
SMYZAAOKKUETMB-SAIGFBBZSA-N,1,8.244125144327509,2
MLKJSRUZFXLXTL-KESTWPANSA-N,1,8.244125144327509,2
SJSVMGMRQLCIER-UHFFFAOYSA-N,1,,0
ONXKQTHNJXTCGP-OJBMAJLDSA-N,1,8.24184537803261,2
VWGPRFQVSJZKGC-OKDASEJXSA-N,1,8.240558802866303,2
LSEKXOSZIOVUOY-XLIONFOSSA-N,1,,0
LSEKXOSZIOVUOY-FXAWDEMLSA-N,1,,0
AAPCMUAAQFZHRZ-WOIUINJBSA-N,1,8.238824186844269,2
WTRUJFPMRUJYBV-YONZVVFSSA-N,1,8.237321436272564,2
CBQSITUTOXWCDZ-KESTWPANSA-N,1,8.235077015350111,2
XKTRZPQOQOCNJU-HUUCEWRRSA-N,1,8.235003368406854,2
OYQMOAPXBDHMCQ-URLMMPGGSA-N,1,,0
HRFJJRGWVMXDND-UHFFFAOYSA-N,1,,0
OZTXHPJAKOCEFC-RUCARUNLSA-N,1,8.232695682546726,2
AAUYCVIXPYMWAL-LBZQVFOQSA-N,1,8.231583911783668,2
ATOMZLGTVBAGNB-UHFFFAOYSA-N,1,,0
YXORYFHPDVVIAR-FXCIWXGGSA-N,1,8.230622673923861,2
PIZUPLOSIUAOMH-UHFFFAOYSA-N,1,8.230032198670557,3
QCALWRVXYCHRSG-QUCCMNQESA-N,1,,0
PMZOPKCHYGDQPO-QFIPXVFZSA-N,1,,0
NCIZVSJVBWAJQR-UHFFFAOYSA-N,1,8.229147988357855,1
ZJQBHEYWXVCZGD-UHFFFAOYSA-N,1,8.229147988357855,1
JNRGVRLFICIPND-UHFFFAOYSA-N,1,,0
CAXPEQKWERDGFO-UHFFFAOYSA-N,1,,0
KSZBKOKLZQIWFH-UHFFFAOYSA-N,1,8.228412519118745,1
TYMYSUSJLROMAC-RUCARUNLSA-N,1,8.227971834675145,2
TVKYQCPWDDYVLL-KESTWPANSA-N,1,8.22767829327708,2
KHTOBAZDVUSQIH-PGWJBFNOSA-N,1,8.22650610772903,2
ZOLLYWYZUBUMOY-UHFFFAOYSA-N,1,8.221848749616356,1
JMLMUVQDRNZKFK-JKIUYZKVSA-N,1,8.221848749616356,1
DUKNIHFTDAXJON-ORPLUIKVSA-N,1,8.221848749616356,1
ULYVPXBJTVSSBH-UHFFFAOYSA-N,1,8.221848749616356,1
WKCSANGLEHNNKN-KBQPQWKXSA-N,1,8.221848749616356,1
